속담 앞부분,속담 뒷부분,의미,난이도
우물 안,개구리,넓은 세상을 모르고 제 생각만 옳다고 여긴다.,하
윗물이 맑아야,아랫물이 맑다,윗사람이 바르게 행동해야 아랫사람도 본받는다.,하
쥐구멍에도,볕 들 날 있다,고생하던 사람에게도 좋은 날이 온다.,중
천 리 길도,한 걸음부터,큰일도 작은 일부터 차근차근 시작해야 한다.,하
찬물도,위아래가 있다,무슨 일에나 마땅한 순서가 있다.,중
티끌 모아,태산,작은 것도 모으고 모으면 큰 것이 된다.,하
콩 심은 데 콩 나고,팥 심은 데 팥 난다,모든 일은 원인에 따라 그에 맞는 결과가 나온다.,하
하늘이 무너져도,솟아날 구멍이 있다,아무리 어려운 일이라도 벗어날 길은 있다.,중
엎지른 물은,다시 담을 수 없다,이미 저지른 일은 되돌릴 수 없다.,중
호랑이도,제 말 하면 온다,남의 이야기를 하는데 마침 그 사람이 나타난다.,하
낙숫물이,댓돌을 뚫는다,작은 힘이라도 꾸준히 하면 큰일을 이룬다.,중
될성부른 나무는,떡잎부터 알아본다,크게 될 사람은 어릴 때부터 남다르다.,중
매도,먼저 맞는 것이 낫다,어차피 겪을 일이라면 빨리 치르는 편이 낫다.,중
보기 좋은 떡이,먹기도 좋다,겉모양이 좋아야 내용도 좋아 보인다.,중
비 온 뒤에,땅이 굳어진다,어려움을 겪고 나면 오히려 더 단단해진다.,중
쇠뿔도,단김에 빼랬다,마음먹은 일은 망설이지 말고 바로 해야 한다.,중
식은 죽,먹기,아주 쉽게 할 수 있는 일이다.,하
싼 것이,비지떡,값이 싼 물건은 품질도 그만큼 좋지 않다.,중
이웃이,사촌보다 낫다,가까이 사는 이웃이 멀리 있는 친척보다 더 낫다.,중
작은 고추가,더 맵다,몸집이 작은 사람이 오히려 더 야무지고 강하다.,하
가랑비에,옷 젖는 줄 모른다,사소한 것이라도 거듭되면 크게 손해를 본다.,중
간에 붙었다,쓸개에 붙었다 한다,줏대 없이 이익을 따라 이편저편 옮겨 붙는다.,상
갈수록,태산,갈수록 더 어려운 일이 닥친다.,중
같은 값이면,다홍치마,같은 값이라면 더 좋고 마음에 드는 것을 고른다.,중
겉 다르고,속 다르다,겉으로 하는 말과 속마음이 딴판이다.,중
벼는 익을수록,고개를 숙인다,훌륭한 사람일수록 더욱 겸손하다.,중
궁지에 몰린 쥐가,고양이를 문다,아무리 약한 사람도 막다른 곳에 이르면 대든다.,중
기둥을 치면,대들보가 울린다,곧바로 말하지 않고 넌지시 건드려도 뜻이 전해진다.,상
달면 삼키고,쓰면 뱉는다,자기에게 이로우면 취하고 해로우면 버린다.,중
똥 묻은 개가,겨 묻은 개 나무란다,제 허물이 더 큰 사람이 남의 작은 허물을 흉본다.,중
며느리가 미우면,발뒤꿈치가 달걀 같다고 나무란다,미운 사람은 하는 일마다 트집을 잡게 된다.,상
모난 돌이,정 맞는다,두드러지게 튀는 사람이 남에게 미움을 받는다.,상
모로 가도,서울만 가면 된다,과정이야 어떻든 목적만 이루면 된다.,중
목구멍이,포도청이다,먹고살기 위해서는 하지 못할 일이 없다.,상
범에게,날개 단 격,힘센 사람이 더 큰 힘을 얻어 거칠 것이 없다.,상
병 주고,약 준다,남을 해쳐 놓고 도와주는 척한다.,중
사공이 많으면,배가 산으로 간다,참견하는 사람이 많으면 일이 엉뚱하게 된다.,중
서당 개 삼 년이면,풍월을 읊는다,무식한 사람도 오래 보고 들으면 어느 정도 알게 된다.,중
수박,겉 핥기,속은 모르고 겉만 대충 훑어본다.,하
아닌 밤중에,홍두깨,뜻하지 않은 일이 갑자기 벌어진다.,상
열 길 물속은 알아도,한 길 사람 속은 모른다,사람의 속마음은 헤아리기가 매우 어렵다.,상
원수는,외나무다리에서 만난다,피하고 싶은 사람을 꼭 마주치게 된다.,중
자라 보고 놀란 가슴,솥뚜껑 보고 놀란다,한 번 놀라면 비슷한 것만 봐도 겁을 낸다.,상
재주는 곰이 부리고,돈은 되놈이 번다,애쓴 사람 따로 있고 이익을 챙기는 사람이 따로 있다.,상
종로에서 뺨 맞고,한강에서 눈 흘긴다,화난 곳에서는 말 못 하고 엉뚱한 데서 분풀이한다.,상
지렁이도,밟으면 꿈틀한다,아무리 순한 사람도 업신여기면 가만있지 않는다.,중
털도 안 난 것이,날기부터 하려 한다,아직 실력도 없으면서 어려운 일부터 하려 든다.,상
가랑잎이,솔잎더러 바스락거린다고 한다,제 허물이 더 크면서 남의 작은 허물을 탓한다.,상
개 눈에는,똥만 보인다,자기가 관심 있는 것만 눈에 들어온다.,중
공자 앞에서,문자 쓴다,잘 아는 사람 앞에서 아는 체하며 뽐낸다.,상
궁하면,통한다,막다른 처지에 이르면 도리어 해결할 길이 생긴다.,중
나중 난 뿔이,우뚝하다,뒤에 생긴 것이 먼저 것보다 나을 때가 있다.,상
남의 제사에,감 놓아라 배 놓아라 한다,남의 일에 쓸데없이 끼어들어 참견한다.,중
낫 놓고,기역 자도 모른다,아주 무식하여 쉬운 글자조차 알지 못한다.,중
다 된 밥에,코 빠뜨린다,거의 다 된 일을 마지막에 망쳐 버린다.,중
다람쥐,쳇바퀴 돌듯,앞으로 나아가지 못하고 같은 일만 되풀이한다.,중
달도 차면,기운다,한창 좋을 때가 지나면 반드시 쇠하게 된다.,중
미꾸라지 한 마리가,온 웅덩이를 흐린다,한 사람의 잘못이 여러 사람에게 해를 끼친다.,중
미운 놈,떡 하나 더 준다,미운 사람일수록 오히려 잘 대해 주어야 뒤탈이 없다.,중
빈대 잡으려고,초가삼간 태운다,작은 것을 없애려다 더 큰 것을 잃는다.,상
사위는,백년손님,사위는 언제나 예의를 갖춰 대접해야 할 어려운 손님이다.,중
선무당이,사람 잡는다,서투른 솜씨로 나서다가 큰일을 그르친다.,상
소문난 잔치에,먹을 것 없다,떠들썩하게 소문난 것일수록 실속이 없다.,중
십 년이면,강산도 변한다,세월이 흐르면 무엇이든 변하기 마련이다.,중
언 발에,오줌 누기,잠깐 효과가 있을 뿐 결국 더 나빠지는 방법이다.,상
업은 아이,삼 년 찾는다,바로 곁에 있는 것을 모르고 엉뚱한 데서 찾는다.,상
용의 꼬리보다,뱀의 머리가 낫다,큰 곳의 말단보다 작은 곳의 우두머리가 낫다.,상
우물을 파도,한 우물을 파라,한 가지 일을 꾸준히 해야 성공할 수 있다.,중
원님 덕에,나팔 분다,남의 덕분에 분에 넘치는 대접을 받는다.,상
재수 없는 포수는,곰을 잡아도 웅담이 없다,운이 나쁜 사람은 좋은 기회가 와도 소용이 없다.,상
제 꾀에,제가 넘어간다,남을 속이려던 꾀에 도리어 자기가 걸려든다.,중
가루는 칠수록 고와지고,말은 할수록 거칠어진다,말이 많아질수록 다툼과 실수가 생긴다.,상
가물에,콩 나듯,어쩌다 하나씩 있을 만큼 매우 드물다.,중
갈치가,갈치 꼬리 문다,가까운 사이끼리 서로 헐뜯고 다툰다.,상
개똥도,약에 쓰려면 없다,흔하던 것도 정작 필요할 때는 구하기 어렵다.,중
거미도 줄을 쳐야,벌레를 잡는다,무슨 일이든 준비를 해야 성과를 얻는다.,중
걱정도,팔자다,하지 않아도 될 걱정을 사서 하는 사람을 이르는 말.,중
겉보리 서 말만 있어도,처가살이 안 한다,조금이라도 살 길이 있으면 남에게 얹혀살지 않는다.,상
게도 구럭도,다 잃었다,욕심을 부리다가 가진 것까지 모두 잃었다.,상
고기도,저 놀던 물이 좋다,낯선 곳보다 늘 지내던 곳이 더 편하고 좋다.,중
고슴도치도,제 새끼는 함함하다고 한다,제 자식은 아무리 못나도 귀엽게 보인다.,상
고양이,쥐 생각,속으로는 해칠 마음이면서 겉으로만 위하는 척한다.,중
산이 높아야,골이 깊다,바탕이 훌륭해야 그만큼 큰 결과가 나온다.,상
굿이나 보고,떡이나 먹자,쓸데없이 나서지 말고 가만히 있다가 이익만 얻자.,중
긁어,부스럼,가만두면 될 일을 공연히 건드려 탈을 만든다.,중
나간 사람 몫은 있어도,자는 사람 몫은 없다,게으름을 피우는 사람에게는 돌아갈 몫이 없다.,상
냉수 먹고,속 차려라,헛된 생각을 버리고 정신을 차리라는 말.,중
누이 좋고,매부 좋다,서로에게 다 이로워 손해 볼 것이 없다.,중
늦게 배운 도둑이,날 새는 줄 모른다,뒤늦게 재미를 붙이면 더 정신없이 빠져든다.,중
도토리,키 재기,비슷비슷한 사람끼리 누가 더 낫다고 다툰다.,중
독 안에,든 쥐,꼼짝없이 갇혀 빠져나갈 수 없는 처지이다.,하
돈만 있으면,귀신도 부릴 수 있다,돈만 있으면 못 할 일이 없다.,중
뛰는 놈 위에,나는 놈 있다,아무리 잘난 사람도 그보다 나은 사람이 있다.,중
마른하늘에,날벼락,뜻밖의 불행한 일을 갑자기 당한다.,중
소 가는 데,말도 간다,남이 하는 일이면 나도 할 수 있다.,중
먼저 먹는 놈이,임자다,먼저 차지한 사람이 주인이 된다.,중
무자식,상팔자,자식이 없으면 속 썩을 일도 없어 오히려 편하다.,중
물에 빠진 놈 건져 놓으니까,보따리 내놓으라 한다,은혜를 베풀었더니 도리어 해를 끼친다.,상
호랑이에게 물려 가도,정신만 차리면 산다,아무리 위급해도 침착하면 살길이 생긴다.,중
바늘 가는 데,실 간다,서로 떨어질 수 없이 늘 붙어 다닌다.,하
밥이 끓는지,죽이 끓는지 모른다,일이 어떻게 돌아가는지 전혀 모른다.,중
방귀 뀐 놈이,성낸다,잘못한 사람이 오히려 화를 낸다.,중
배 주고,배 속 빌어먹는다,큰 것을 남에게 주고 하찮은 것을 얻어 손해를 본다.,상
호박이,넝쿨째 굴러 들어온다,뜻밖에 좋은 일이 저절로 생긴다.,중
봄볕에는 며느리를 내보내고,가을볕에는 딸을 내보낸다,며느리보다 딸을 더 아끼는 마음을 이르는 말.,상
부뚜막의 소금도,집어넣어야 짜다,아무리 쉬운 일도 직접 해야 결과가 나온다.,중
불난 집에,부채질,남의 어려움을 더욱 커지게 만든다.,중
사람은 죽어서 이름을 남기고,호랑이는 죽어서 가죽을 남긴다,사람은 살아서 훌륭한 이름을 남겨야 한다.,중
산돼지 잡으려다,집돼지 놓친다,큰 것을 욕심내다 가진 것마저 잃는다.,상
새 발의,피,아주 적어서 보잘것없는 양이다.,중
수염이 대 자라도,먹어야 양반이다,아무리 점잖아도 먹고사는 일이 먼저다.,상
약방에,감초,어디에나 빠짐없이 끼어드는 사람이나 물건.,중
어르고,뺨 친다,달래는 척하다가 곧 해를 끼친다.,상
가는 정이 있어야,오는 정이 있다,내가 먼저 마음을 써야 남도 나를 위한다.,중
웃는 낯에,침 뱉으랴,좋은 얼굴로 대하는 사람에게는 함부로 하지 못한다.,중
익은 밥 먹고,선소리한다,사리에 맞지 않는 엉뚱한 소리를 한다.,상
입은 비뚤어져도,말은 바로 해라,형편이 어떻든 말은 사실대로 바르게 해야 한다.,중
